品名,URL,メーカー,名称,保存期間,内容量,原材料,アレルゲン
やきとり たれ味 75g,https://www.hoteifoods.co.jp/products/c01/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、砂糖、醤油（大豆・小麦を含む）、発酵調味料、りんご濃縮果汁、食塩、ロースト醤油ペースト／増粘剤（加工デンプン、増粘多糖類）、加工デンプン、調味料（アミノ酸）、カラメル色素、香料,小麦、大豆、鶏肉、りんご
やきとり 塩味 GP4号,https://www.hoteifoods.co.jp/products/c-03/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、香料、増粘多糖類、甘味料（キシロース）、カラメル色素、酸味料,卵、乳、小麦、大豆、鶏肉
やきとり たれ味 G7号,https://www.hoteifoods.co.jp/products/c-09/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,260g,鶏肉、醤油（大豆・小麦を含む）、砂糖、香辛料／増粘多糖類、調味料（アミノ酸）、カラメル色素,小麦、大豆、鶏肉
やきとり たれ味 90g,https://www.hoteifoods.co.jp/products/c-06/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,90g,鶏肉（国産）、砂糖、しょうゆ（小麦・大豆を含む）、発酵調味料、りんご濃縮果汁、食塩、ローストしょうゆペースト／増粘剤（加工でん粉、増粘多糖類）、加工でん粉、調味料（アミノ酸）、カラメル色素、香料,小麦、大豆、鶏肉、りんご
やきとり 塩味 75g,https://www.hoteifoods.co.jp/products/c-08/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）、香味油／調味料（アミノ酸等）、香料、増粘多糖類、甘味料（キシロース）、カラメル色素、酸味料,卵、乳、小麦、大豆、鶏肉
やきとり うま辛味 75g,https://www.hoteifoods.co.jp/products/k0960/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、砂糖、醤油（大豆・小麦を含む）、醤油もろみ、香辛料、食塩／調味料（アミノ酸等）、増粘剤（加工デンプン、増粘多糖類）、加工デンプン、着色料（パプリカ色素、カラメル）,小麦、大豆、鶏肉
やきとり ガーリックペッパー味 GP4号,https://www.hoteifoods.co.jp/products/c-04/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,75g,鶏肉（国産）、しょうゆ（小麦・大豆を含む）、砂糖、にんにく、ローストガーリックペースト（豚を含む）、りんご濃縮果汁、食塩、香辛料、でん粉／加工でん粉、カラメル色素、調味料（アミノ酸）、増粘多糖類,小麦、大豆、鶏肉、豚肉、りんご
やきとり 柚子こしょう味 GP4号,https://www.hoteifoods.co.jp/products/c-05/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、ゆずこしょう、しょうゆ（小麦・大豆を含む）、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、増粘多糖類、香料、酸味料、香辛料抽出物、甘味料（キシロース）、カラメル色素,卵、乳、小麦、大豆、鶏肉
やきとり 塩レモン味 70g,https://www.hoteifoods.co.jp/products/k1053/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,70g,鶏肉（国産）、食塩、しょうゆ（小麦・大豆を含む）、砂糖、レモン濃縮果汁、チキンエキス（卵・乳成分を含む）／調味料（アミノ酸等）、増粘多糖類、香料、甘味料（キシロース）、酸味料、カラメル色素,卵、乳、小麦、大豆、鶏肉
やきとりたまご たれ味 155g,https://www.hoteifoods.co.jp/products/c-25/,株式会社ホテイフーズコーポレーション,畜肉缶詰,約3年,155g,鶏肉、鶏卵、砂糖、醤油（大豆・小麦を含む）、発酵調味料、りんご濃縮果汁、食塩／増粘剤（加工デンプン、増粘多糖類）、調味料（アミノ酸）、カラメル色素,卵、小麦、大豆、鶏肉、りんご
