品名,URL,メーカー,名称,保存期間,内容量,出来上がり量,原材料,アレルゲン
尾西の白飯,https://www.onisifoods.co.jp/products/hakuhan.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）,なし
尾西のアレルギー対応 五目ごはん,https://www.onisifoods.co.jp/products/gomoku_allergy.html," 西尾食品株式会社",アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（こんにゃく、醤油風調味料、水煮れんこん、食用植物油脂、砂糖、乾燥人参、乾燥ごぼう、乾燥椎茸、食塩）／ソルビトール、調味料（アミノ酸）、カラメル色素、酸味料、酸化防止剤（ビタミンE）、香料,なし
尾西のわかめごはん,https://www.onisifoods.co.jp/products/wakame.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（食塩、わかめ、砂糖、昆布エキス、でん粉、ホタテエキス）/調味料（アミノ酸等）,なし
尾西のきのごはん,https://www.onisifoods.co.jp/products/inaka.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（食塩、食用植物油脂、ぶなしめじ、乾燥人参、たけのこ、砂糖、乾燥椎茸、なめこ、乾燥きくらげ、水煮わらび、かつお節エキス）/ソルビトール、調味料（アミノ酸）、酸化防止剤（ビタミンE）,なし
尾西のたけのこごはん,https://www.onisifoods.co.jp/products/takenoko.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（水煮たけのこ、ぶなしめじ、ぶとう糖、でん粉分解物、食塩）、調味粉末(食塩、かつお節エキス粉末、かつお節粉末、ぶどう糖加工品、砂糖、でん粉)/調味料（アミノ酸等）、トレハロース、酸化防止剤（ビタミンE）、香料,なし
尾西の山菜おこわ,https://www.onisifoods.co.jp/products/sansai.html,西尾食品株式会社,アルファ米,5年,100g,210g,もち米（国産）、うるち米（国産）、調味粉末（食塩、かつお節エキス粉末、ぶどう糖、ぶどう糖加工品、でん粉）、味付乾燥具材（水煮わらび、水煮ぜんまい、水煮えのき、水煮細竹、水煮ふき、醤油風調味料、かつお節エキス、砂糖、食塩、乾燥きくらげ）/調味料（アミノ酸等）、香料、ソルビトール、酸味料,なし
尾西の赤飯,https://www.onisifoods.co.jp/products/sekihan.html,西尾食品株式会社,アルファ米,5年,100g,210g,"赤飯（もち米（国産）、小豆、ささげ液）、顆粒食塩（食塩、寒梅粉）  ",なし
尾西のドライカレー,https://www.onisifoods.co.jp/products/drycurry.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（さやいんげん、味付玉ねぎ、コーン、人参）、調味粉末（食塩、砂糖、カレーパウダー、オニオンパウダー、コーンスターチ、たん白加水分解物、ターメリックパウダー、ガーリックパウダー、クミンパウダー、コリアンダーシードパウダー、食用植物油脂、パセリ）／調味料（アミノ酸等）、微粒酸化ケイ素、リン酸カルシウム、香料、トレハロース、酸化防止剤（ビタミンＥ）,なし
尾西の五目ごはん,https://www.onisifoods.co.jp/products/gomoku.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（食用植物油脂、醤油、砂糖、乾燥人参、油揚げ、乾燥ごぼう、乾燥椎茸、こんにゃく、食塩）/ソルビトール、調味料（アミノ酸）、酸化防止剤（ビタミンE）、（一部に小麦・大豆を含む）,小麦、大豆
尾西の松茸ごはん,https://www.onisifoods.co.jp/products/matsutake.html,西尾食品株式会社,アルファ米,5年,100g,260g,うるち米（国産）、味付乾燥具材（還元水あめ、乾燥人参、乾燥ごぼう、油揚げ、食用植物油脂、松茸、昆布エキス、酵母エキス、醤油、かつお節エキス、かつお昆布だし、発酵調味料、食塩）/酸化防止剤（ビタミンE）、香料、酸味料、（一部に小麦・乳成分・大豆・まつたけを含む）,小麦、乳成分、大豆、まつたけ
