品名,URL,メーカー,名称,保存期間,内容量,出来上がり,原材料,アレルゲン
即席うどん（しょう油味）,https://www.bousaikan.jp/422048.html,株式会社おむすびころりん本舗,うどん,3年,55.5g,455.5g,めん（小麦粉、食塩）、スープ（粉末しょう油、かつお風味調味料、こくみ調味料、食塩、砂糖）、かやく（わかめ、ねぎ）、調味料（アミノ酸等）、酸化防止剤（VE） (原材料の一部に小麦、大豆を含む),小麦、大豆
やわらかナポリタンスパゲティ,http://llf.jp.net/goods-staple-2.html#napori,株式会社ＬＬＣ,パスタ,6年,200g,None,トマトケチャップ（国内製造）、スパゲッティ（デュラム小麦のセモリナ）、野菜（玉ねぎ、人参）、植物油、ぶなしめじ、ソーセージ、グリンピース、食塩、にんにく、黒胡椒／ソルビトール、pH調整剤、調味料（アミノ酸等）、リン酸塩（Na）、酸化防止剤（エリソルビン酸Na）、発色剤（亜硝酸Na）、（一部に小麦・大豆・豚肉を含む）,小麦、大豆、豚肉
マジックパスタ「カルボナーラ」,https://satake-japan.co.jp/products/foods/pasta/000115.html?parentCategory=%E9%A3%9F%E5%93%81&category=%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF%E3%83%91%E3%82%B9%E3%82%BF,株式会社サタケ,パスタ,5年,63.8g　,214g,マカロニ加工品（小麦を含む）、カルボナーラの素（脱脂濃縮乳、でん粉分解物、砂糖、ベーコン（豚肉を含む）、ソテーオニオン（大豆を含む）、乳又は乳製品を主要原料とする食品、プロセスチーズ、ポークエキス調味料（鶏肉・りんごを含む）、その他（ゼラチンを含む））/調味料（アミノ酸等）、増粘剤（キサンタンガム）、酸化防止剤（ビタミンE）、リン酸塩（Na）、香料、発色剤（亜硝酸Ｎａ）、着色料（β-カロテン）,小麦、乳、大豆、鶏肉、豚肉、りんご、ゼラチン
マジックパスタ「ペペロンチーノ」,https://satake-japan.co.jp/products/foods/pasta/000115.html?parentCategory=%E9%A3%9F%E5%93%81&category=%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF%E3%83%91%E3%82%B9%E3%82%BF,株式会社サタケ,パスタ,5年,56.3g,206g,マカロニ加工品（小麦を含む）、ペペロンチーノの素（デキストリン、食塩、フライドガーリック、ポークエキス（大豆・鶏肉・りんごを含む）、その他（ごまを含む））/調味料（アミノ酸）、増粘剤（キサンタンガム）、酸化防止剤（ビタミンE）,小麦、ごま、大豆、鶏肉、豚肉、りんご
マジックパスタ「きのこのパスタ(デミグラス風味)」,https://satake-japan.co.jp/products/foods/pasta/000115.html?parentCategory=%E9%A3%9F%E5%93%81&category=%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF%E3%83%91%E3%82%B9%E3%82%BF,株式会社サタケ,パスタ,5年,59.9g,210g,カロニ加工品（小麦を含む）、きのこのパスタの素（オニオンソテー（大豆を含む）、ひらたけ、エリンギ、デキストリン、デミグラスソース（牛肉を含む）、食塩、その他（乳成分・鶏肉を含む））/調味料（アミノ酸等）、着色料（カラメル）、増粘剤（キサンタンガム）、香辛料抽出物、酸化防止剤（ビタミンE）、酸味料、香料,小麦、乳、牛肉、大豆、鶏肉
米粉でつくった カレーうどん,https://www.onisifoods.co.jp/products/curryudon.html,尾西食品株式会社,うどん,5年,73g,353g,米粉（米（国産））、でん粉/加工でん粉、増粘剤（アルギン酸エステル）【調味粉末】食塩、カレーパウダー、オニオンパウダー、コーンスターチ、砂糖、たん白加水分解物、ターメリックパウダー、ガーリックパウダー、クミンパウダー、コリアンダーシードパウダー、食用植物油脂／調味料（アミノ酸等）、増粘剤（加工でん粉、キサンタンガム）、微粒酸化ケイ素、リン酸Ｃａ、香料、人参、さやいんげん、味付玉ねぎ／トレハロース、酸化防止剤（ビタミンＥ）,None
米粉でつくった 山菜うどん,https://www.onisifoods.co.jp/products/sansaiudon.html,尾西食品株式会社,うどん,5年,71.5g,351.5g,米粉（米（国産））、でん粉/加工でん粉、増粘剤（アルギン酸エステル）【かやく】食塩、食用植物油脂、ぶなしめじ、乾燥人参、たけのこ、砂糖、乾燥椎茸、なめこ、乾燥きくらげ、水煮わらび、鰹節エキス/ソルビトール、調味料（アミノ酸）、酸化防止剤（ビタミンＥ)、食塩、ぶどう糖、コーンスターチ、砂糖、たん白加水分解物、鰹節エキス、酵母エキス、昆布エキスパウダー、食用植物油脂、唐辛子/調味料（アミノ酸等）、カラメル色素、香料、微粒酸化ケイ素、リン酸Ｃａ,None
その場deパスタ・トマト味,http://sio-japan.co.jp/products/sonoba_pasta_tomato/,株式会社エス・アイ・オー・ジャパン,パスタ,5年,66g,None,麺（デュラム小麦のセモリナ）（ベルギー製造）、砂糖、食塩、トマトパウダー、脱脂粉乳、オニオンパウダー、香辛料、豚脂、パプリカパウダー、コーン（遺伝子組み換えではない）（一部に小麦・乳成分・大豆・豚肉を含む）/調味料（アミノ酸等）、着色料（カロチノイド・ビートレッド・アナトー）、酸味料,小麦、乳成分、大豆、豚肉
その場deパスタ・コーンクリーム味,http://sio-japan.co.jp/products/sonoba_pasta_korn/,株式会社エス・アイ・オー・ジャパン,パスタ,5年,65g,None,麺（デュラム小麦のセモリナ）（ベルギー製造）、乳等を主要原料とする食品、乾燥じゃがいも、澱粉分解物、砂糖、食塩、白菜エキスパウダー（デキストリン・白菜エキス・食塩）にんにく粉末、チキン風味調味料、乾燥野菜（パセリ）、コーン（遺伝子組み換えでない）、香辛料（一部に乳成分・小麦・大豆・鶏肉を含む）/調味料（アミノ酸）、香料、酸味料,小麦、乳成分、大豆、鶏肉
その場deパスタ・和風味,http://sio-japan.co.jp/products/sonoba_pasta_wafu/,株式会社エス・アイ・オー・ジャパン,パスタ,5年,55g,None,麺（デュラム小麦のセモリナ）（ベルギー製造）、粉末醤油、かつお節粉末、食塩、甜菜糖、酵母エキス、昆布粉末、シイタケ、ネギ（一部に小麦・大豆を含む）/加工デンプン,小麦、大豆
