食品名,製品URL,製造メーカ名,製品の名称,製品の保存期間,製品の内容量,製品の原材料,製品に含まれるアレルゲン
保存食 けんちん汁,None,日本ジフィー食品,けんちん汁,約5年,191g,しょうゆ、かつお節エキス、醸造調味料、清酒、食塩、ごま油、ゼラチン、水あめ、ポークオイル、でん粉、コンブエキス、具（豚肉、ごぼう、大根、ぶなしめじ、さといも、ねぎ、乾燥にんじん）、調味料（アミノ酸等）、トレハロース、増粘剤（キサンタンガム）、環状オリゴ糖、酸化防止剤（ビタミンE、ローズマリー抽出物）,小麦
保存用　豚汁,None,日本ジフィー食品,豚汁,約5年,270g,米みそ、豚肉、さといも、ごぼう、和風だしペースト、ポークオイル、ねぎ、干椎茸、乾燥にんじん、コンブエキス、かつお節エキス、ゼラチン、寒天、トレハロース、調味料（アミノ酸等）、酸化防止剤（ビタミンE、ローズマリー抽出物）,小麦
おむすびころりん 防災備蓄食 みそ汁,https://omusbikororin.co.jp/goods/emergencyfood,株式会社おむすびころりん本舗,みそ汁,約5年,10g,米みそ、ほうれん草、でん粉、油あげ、デキストリン、こんぶエキス、かつおエキス、食塩、しょうゆ、ゼラチン、乾燥わかめ、乾燥ねぎ／調味料（アミノ酸等）、豆腐用凝固剤、酸化防止剤（ビタミンＥ）、カラメル色素,小麦・大豆・豚肉・ゼラチン
おむすびころりん 防災備蓄食 卵スープ,https://omusbikororin.co.jp/goods/emergencyfood,株式会社おむすびころりん本舗,卵スープ,約5年,7g,デキストリン、食塩、しょうゆ、チキンエキス、でん粉、チキンエキスパウダー、ゼラチン、砂糖、しいたけエキスパウダー、酵母エキス、粉末しょうゆ、酵母エキスパウダー、香辛料、こんぶエキス、しいたけエキス、うきみ（鶏卵、赤ピーマン、しいたけ、乾燥わかめ、乾燥ねぎ）／調味料（アミノ酸等）、増粘剤（キサンタンガム）、酸味料、カラメル色素,小麦・卵・大豆・鶏肉・ゼラチン
おむすびころりん 防災備蓄食 オニオンスープ,https://omusbikororin.co.jp/goods/emergencyfood,株式会社おむすびころりん本舗,オニオンスープ,約5年,6g,コンソメ粉末、でん粉、食塩、しょう油、オニオンパウダー、セロリ、ホワイトペッパー、具（オニオンソテー）、調味料（アミノ酸等）、酸化防止剤（ビタミン.Ｅ）、カラメル色素、香料,小麦、大豆、牛肉
ライフスープ,https://www.vegitaladvance.com/lifesoup,株式会社ベジタルアドバンス,乾燥スープ（野菜コンソメ味）,約5年,94.5g,デキストリン(国内製造)、野菜エキスパウダー、⾷塩、砂糖、酵⺟エキス、⾷物繊維、⾹⾟料／炭酸Ca、ピロリン酸第⼆鉄、V.C、V.E、 ナイアシン、パントテン酸Ca、V.B1、V.B6、V.B2、V.A、葉酸、 V.D、V.B12,無し
野菜たっぷりトマトのスープ,https://www.kagome.co.jp/products/gift/soup/#contents,カゴメ株式会社野菜,スープ,約5年6ヶ月,160g,（たまねぎ、じゃがいも、にんじん、セロリ）、トマトペースト、白いんげん豆、グリルズッキーニ、スペルト小麦、チキンガラスープ、大麦、チキンエキス、大豆油、赤ピーマンペースト、チキンブイヨン、ガーリックピューレー、食塩、酵母エキス、パセリ濃縮液、香辛料,小麦、大豆、鶏肉、豚肉、ゼラチン
野菜たっぷりカボチャのスープ,https://www.kagome.co.jp/products/gift/soup/#contents,カゴメ株式会社,スープ,約5年6ヶ月,160g,野菜（たまねぎ（輸入又は国産）、かぼちゃ、にんじん、じゃがいも、セロリ）、かぼちゃピューレー、赤いんげん豆、大麦、スペルト小麦、チキンガラスープ、チキンエキス、チキンブイヨン、大豆油、トマトペースト、ガーリックピューレー、食塩、酵母エキス、パセリ濃縮液、香辛料,小麦、大豆、鶏肉、豚肉、ゼラチン
野菜たっぷり豆のスープ,https://www.kagome.co.jp/products/gift/soup/#contents,カゴメ株式会社,スープ,約5年6ヶ月,160g,野菜（たまねぎ、ピーマン、にんじん、じゃがいも、セロリ、グリーンピース）、白いんげん豆ピューレー（国内製造）、白いんげん豆、ひよこ豆、赤いんげん豆、レンズ豆、牛乳、チキンガラスープ、スペルト小麦、チキンエキス、チキンブイヨン、大豆油、食塩、ガーリックピューレー、パセリ濃縮液、酵母エキス、香辛料,小麦、乳成分、大豆、鶏肉、豚肉、ゼラチン
野菜たっぷりきのこのスープ,https://www.kagome.co.jp/products/gift/soup/#contents,カゴメ株式会社,スープ,約5年6ヶ月,160g,野菜（たまねぎ（輸入又は国産）、マッシュルーム、ひらたけ、エリンギ、ピーマン、セロリ）、大麦、スペルト小麦、しょうゆ、しいたけエキスパウダー、オニオンソテー、大豆油、コーンスターチ、ごぼうピューレー、本みりん、キャベツ濃縮液、ドライトマト、食塩、ガーリックピューレー、チキンブイヨン、酵母エキス、マッシュルームエキス、香辛料、パセリ濃縮液,小麦、大豆、鶏肉
